"Especie","Chi_squared","df","P_value"
"SE",108.026177204387,9,3.707143404043e-19
"SU",110.088609669937,9,1.41056624598645e-19
"SA",113.307729918593,9,3.11440830449226e-20
"SK",104.98303557408,9,1.53904919791054e-18
"SJ",50.8461800595655,9,7.46462606773245e-08
"SM",171.715955131551,9,2.70893479909186e-32
"SP",230.701049102898,9,1.17108981194309e-44
"SC",404.240241147969,9,1.70562788617814e-81
