"Grupo1","Grupo2","P_value"
"Su-1","Su-2",0.424531969896815
"Su-1","Su-3",0.368260274412701
"Su-2","Su-3",0.376930167475863
"Su-1","Su-4",0.478053530229205
"Su-2","Su-4",0.453028820513814
"Su-3","Su-4",0.472412288390434
