"Grupo1","Grupo2","P_value"
"Sa-1","Sa-2",0.575057675738824
"Sa-1","Sa-3",1
"Sa-2","Sa-3",0.662503492732551
"Sa-1","Sa-4",0.772647775622681
"Sa-2","Sa-4",0.556828835655942
"Sa-3","Sa-4",0.477496403615701
