"Grupo1","Grupo2","P_value"
"Sk-1","Sk-2",0.408345622555918
"Sk-1","Sk-3",0.282895206297085
"Sk-2","Sk-3",0.207139709758783
"Sk-1","Sk-4",0.306649131103422
"Sk-2","Sk-4",0.293440229206613
"Sk-3","Sk-4",0.343060955630886
