"Especie","Chi_squared","df","P_value"
"SE",19.8631873964607,5,0.0013257977230218
"SU",2.13765521650398,3,0.544332498348116
"SA",0.635607804508961,3,0.888234554672383
"SK",3.53449104624501,3,0.316316222726967
"SJ",1.78472397277541,1,0.181570318099088
"SM",1.15895066221091,5,0.948754346509722
"SP",11.0555796956937,8,0.198569822596669
"SC",31.7383437675162,15,0.00698715904709965
