Species Strain Condition Line Genotype RSS r2 rmax rmax_se topt topt_se ctmin ctmin_se ctmax ctmax_se tolerance breadth An_rmax An_topt An_ctmax An_ctmin An_tolerance An_breadth rmax_rel topt_rel ctmax_rel ctmin_rel tolerance_rel breadth_rel
Se Se-2 Control 1 I1 7.704e-32 1 0.336 1.824e-16 24.192 7.981e-15 7.925 4.201e-14 30.965 1.681e-14 23.04 7.665 0.294 24.062 32.536 0.282 32.254 10.222 0.042 0.129999999999999 -1.571 7.643 -9.214 -2.557
Se Se-2 Control 1 I2 1.088e-06 1 0.322 0.0006059 23.621 0.02 8.267 0.108 31.002 0.007 22.735 7.922 0.294 24.062 32.536 0.282 32.254 10.222 0.028 -0.441000000000003 -1.534 7.985 -9.519 -2.3
Se Se-2 Control 1 I3 1.387e-32 1 0.333 7.567e-17 23.533 2.655e-15 10.18 1.07e-14 29.911 3.064e-15 19.731 6.892 0.294 24.062 32.536 0.282 32.254 10.222 0.039 -0.529 -2.625 9.898 -12.523 -3.33
Se Se-2 Control 2 I1 3.775e-32 1 0.323 1.278e-16 23.814 4.866e-15 10.197 2.096e-14 30.898 9.142e-15 20.701 7.366 0.294 24.062 32.536 0.282 32.254 10.222 0.029 -0.248000000000001 -1.638 9.915 -11.553 -2.856
Se Se-2 Control 2 I2 1.978e-05 1 0.33 0.002 22.874 0.081 12.991 0.313 31.013 0.038 18.022 7.431 0.294 24.062 32.536 0.282 32.254 10.222 0.036 -1.188 -1.523 12.709 -14.232 -2.791
Se Se-2 Control 2 I3 2.597e-05 1 0.322 0.003 23.657 0.095 10.381 0.39 31.009 0.037 20.628 7.499 0.294 24.062 32.536 0.282 32.254 10.222 0.028 -0.405000000000001 -1.527 10.099 -11.626 -2.723
Se Se-2 Control 3 I1 2.716e-32 1 0.309 1.077e-16 23.543 4.066e-15 10.845 1.629e-14 30.662 6.635e-15 19.817 7.256 0.294 24.062 32.536 0.282 32.254 10.222 0.015 -0.519000000000002 -1.874 10.563 -12.437 -2.966
Se Se-2 Control 3 I2 2.716e-32 1 0.309 1.077e-16 23.543 4.066e-15 10.845 1.629e-14 30.662 6.635e-15 19.817 7.256 0.294 24.062 32.536 0.282 32.254 10.222 0.015 -0.519000000000002 -1.874 10.563 -12.437 -2.966
Se Se-2 Control 3 I3 0.0006358 0.993 0.334 0.014 23.385 0.447 11.604 1.641 31.053 0.197 19.449 7.438 0.294 24.062 32.536 0.282 32.254 10.222 0.04 -0.677 -1.483 11.322 -12.805 -2.784
Se Se-2 Control 4 I1 9.707e-32 1 0.322 2.037e-16 23.312 7.197e-15 11.369 2.794e-14 30.64 1.122e-14 19.271 7.226 0.294 24.062 32.536 0.282 32.254 10.222 0.028 -0.75 -1.896 11.087 -12.983 -2.996
Se Se-2 Control 4 I2 1.192e-05 1 0.342 0.002 23.214 0.058 12.577 0.194 31.009 0.027 18.432 7.303 0.294 24.062 32.536 0.282 32.254 10.222 0.048 -0.848000000000003 -1.527 12.295 -13.822 -2.919
Se Se-2 Control 4 I3 0.0001804 0.998 0.332 0.007 23.498 0.235 11.666 0.836 31.027 0.102 19.361 7.376 0.294 24.062 32.536 0.282 32.254 10.222 0.038 -0.564 -1.509 11.384 -12.893 -2.846
Se Se-2 Treatment 1 I1 4.461e-05 0.999 0.279 0.003 25.48 0.171 -0.77 1.542 34.006 0.053 34.776 10.747 0.294 24.062 32.536 0.282 32.254 10.222 -0.015 1.418 1.47 -1.052 2.52200000000001 0.525
Se Se-2 Treatment 1 I2 0.0008645 0.985 0.291 0.014 26.104 0.675 6.087 3.487 34.021 0.231 27.934 9.141 0.294 24.062 32.536 0.282 32.254 10.222 -0.003 2.042 1.485 5.805 -4.32 -1.081
Se Se-2 Treatment 1 I3 1.849e-32 1 0.282 1.045e-16 26.232 1.124e-14 3.578 5.256e-14 33.286 1.277e-14 29.708 9.039 0.294 24.062 32.536 0.282 32.254 10.222 -0.012 2.17 0.75 3.296 -2.546 -1.183
