Strain	Replicate	Specie	Temperature	Rate	OD
Se-1	3	SE	16	0.139	1.095
Se-2	1	SE	16	0.134	1.153
Se-2	2	SE	16	0.135	1.165
Se-2	3	SE	16	0.134	1.242
Se-3	1	SE	16	0.164	1.127
Se-3	2	SE	16	0.155	0.916
Se-3	3	SE	16	0.160	1.051
Se-4	1	SE	16	0.145	1.252
Se-4	2	SE	16	0.143	1.174
Se-4	3	SE	16	0.147	1.215
Se-5	1	SE	16	0.154	1.183
Se-5	2	SE	16	0.153	1.302
Se-5	3	SE	16	0.155	1.194
Se-6	1	SE	16	0.117	1.203
Se-6	2	SE	16	0.123	1.256
Se-6	3	SE	16	0.12	1.121
Sj-1	1	SJ	16	0.258	1.116
Sj-1	2	SJ	16	0.28	1.076
Sj-1	3	SJ	16	0.253	1.101
Sj-2	1	SJ	16	0.282	1.110
Sj-2	2	SJ	16	0.233	1.175
Sj-2	3	SJ	16	0.259	1.135
Sp-1	1	SP	16	0.235	0.981
Sp-1	2	SP	16	0.236	0.993
Sp-1	3	SP	16	0.210	0.768
Sp-2	1	SP	16	0.136	0.917
Sp-2	2	SP	16	0.135	1.031
Sp-2	3	SP	16	0.134	0.898
Sp-3	1	SP	16	0.132	1.112
Sp-3	2	SP	16	0.120	0.694
Sp-3	3	SP	16	0.117	1.084
Sp-4	1	SP	16	0.111	1.045
Sp-4	2	SP	16	0.116	0.959
Sp-4	3	SP	16	0.113	0.924
Sp-5	1	SP	16	0.138	0.976
Sp-5	2	SP	16	0.136	1.080
Sp-5	3	SP	16	0.135	0.978
Sp-6	1	SP	16	0.139	1.205
Sp-6	2	SP	16	0.143	1.116
Sp-6	3	SP	16	0.140	1.118
Sp-7	1	SP	16	0.126	1.104
Sp-7	2	SP	16	0.114	1.104
Sp-7	3	SP	16	0.126	1.291
Sp-8	1	SP	16	0.121	1.161
Sp-8	2	SP	16	0.119	0.964
Sp-8	3	SP	16	0.111	1.068
Sp-9	1	SP	16	0.129	1.177
Sp-9	2	SP	16	0.137	1.196
Sp-9	3	SP	16	0.132	1.088
Sc-1	1	SC	16	0.163	1.317
Sc-1	2	SC	16	0.170	1.310
Sc-1	3	SC	16	0.094	1.310
Sc-2	1	SC	16	0.125	1.300
Sc-2	2	SC	16	0.114	0.860
Sc-2	3	SC	16	0.107	1.083
Sc-3	1	SC	16	0.135	0.931
Sc-3	2	SC	16	0.133	0.889
Sc-3	3	SC	16	0.128	1.106
Sc-4	1	SC	16	0.119	1.176
Sc-4	2	SC	16	0.133	1.151
Sc-4	3	SC	16	0.131	1.109
Sc-5	1	SC	16	0.142	0.902
Sc-5	2	SC	16	0.166	1.035
Sc-5	3	SC	16	0.128	1.151
Sc-6	1	SC	16	0.110	1.056
Sc-6	2	SC	16	0.117	0.857
Sc-6	3	SC	16	0.109	1.066
Sc-7	1	SC	16	0.127	0.740
Sc-7	2	SC	16	0.123	0.934
Sc-7	3	SC	16	0.123	0.866
Sc-8	1	SC	16	0.124	1.229
Sc-8	2	SC	16	0.113	1.139
Sc-8	3	SC	16	0.124	1.165
Sc-9	1	SC	16	0.130	1.052
Sc-9	2	SC	16	0.156	1.321
Sc-9	3	SC	16	0.102	1.304
Sc-10	1	SC	16	0.130	0.996
Sc-10	2	SC	16	0.132	0.884
Sc-10	3	SC	16	0.134	1.049
Sc-11	1	SC	16	0.128	1.219
Sc-11	2	SC	16	0.124	1.278
Sc-11	3	SC	16	0.120	1.287
Sc-12	1	SC	16	0.165	1.213
Sc-12	2	SC	16	0.124	1.186
Sc-12	3	SC	16	0.124	1.077
Sc-13	1	SC	16	0.175	1.282
Sc-13	2	SC	16	0.151	1.285
Sc-13	3	SC	16	0.126	1.278
Sc-14	1	SC	16	0.117	1.179
Sc-14	2	SC	16	0.120	1.218
Sc-14	3	SC	16	0.162	1.332
Sc-15	1	SC	16	0.070	1.366
Sc-15	2	SC	16	0.073	1.335
Sc-15	3	SC	16	0.081	1.363
Sc-16	1	SC	16	0.155	1.284
Sc-16	2	SC	16	0.126	1.020
Sc-16	3	SC	16	0.169	1.234
